Id,SalePrice
1461,113661.57799345104
1462,163214.15818002212
1463,190586.44169348347
1464,197495.7615737585
1465,202866.41486088035
1466,173476.27795911525
1467,180810.3396071932
1468,160233.24119406036
1469,209792.04526843596
1470,115939.50102822416
1471,158513.97046951344
1472,97125.80499060567
1473,94516.85681034403
1474,146798.02045299564
1475,109867.0377092091
1476,377064.69058771123
1477,259738.32142856048
1478,312375.60612991254
1479,305249.01647241757
1480,480279.7696159345
1481,311095.05089193967
1482,205032.6688272704
1483,178640.81966298987
1484,161344.17449606606
1485,178943.29272856825
1486,190317.43307051214
1487,334844.12166901404
1488,225084.4845485671
1489,205370.6377977899
1490,260851.19001894305
1491,199847.15425682702
1492,103102.18232743902
1493,193076.34449614622
1494,313676.8796476496
1495,290016.00597167807
1496,248040.07551806793
1497,177110.28408180695
1498,174154.12563350794
1499,164841.23630779638
1500,149028.28232276236
1501,195939.9740165592
1502,132853.6437398631
1503,362862.35721158737
1504,234467.23458123006
1505,227250.7687398631
1506,189260.44744851778
1507,259561.63912052932
1508,196232.58579830264
1509,153723.45859774094
1510,142355.87186758508
1511,160983.18948308323
1512,181240.39372933327
1513,152447.14545112717
1514,166732.01060098497
1515,215235.39713041752
1516,158297.20447978957
1517,185667.36957974313
1518,124485.47977811025
1519,218787.8442066232
1520,127601.05511431099
1521,135975.83925427572
1522,187982.87328803414
1523,114912.74198088692
1524,127396.50159337546
1525,121212.77084901894
1526,110762.52132611531
1527,108725.7198092785
1528,133359.55259233082
1529,158015.58256016503
1530,204375.3677914033
1531,125720.90283168438
1532,86359.65489482411
1533,159018.5085499146
1534,129500.44877698374
1535,154562.91652898624
1536,92769.174573573
1537,50783.50098870798
1538,152076.34216738545
1539,207307.6986317199
1540,123642.50513692063
1541,138754.9996164927
1542,163486.02729334356
1543,188385.8251131654
1544,73010.97565941881
1545,119113.39653386877
1546,134830.28795029357
1547,129306.76269379415
1548,149147.3517154501
1549,123223.62144629433
1550,143709.97440365353
1551,105994.19925484908
1552,160764.53886119602
